IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IE_DETAIL_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP74;IP_PROP265;IP_PROP61;IP_PROP330;IP_PROP331;IP_PROP332;IP_PROP333;IP_PROP334;IP_PROP335;IP_PROP339;IP_PROP336;IP_PROP337;IP_PROP340;IP_PROP341;IP_PROP342;IP_PROP343;IP_PROP338;IP_PROP344;IP_PROP345;IP_PROP346;IP_PROP347;IP_PROP348;IP_PROP349;CV_PRICE_1;CV_CURRENCY_1
3739;Ванна моечная ВМС-С-1/400 (500х500х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01.png;;html;vanna-moechnaya-vms-s-1-400-500x500x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01.png;Для каждого предприятия общепита ванна моечная – неотъемлемый элемент кухни. У данной модели сварная раковина из нержавеющей стали и в отличие от цельнотянутой ее глубина может изменяться по желанию клиента.;850;500;500;ООО «АССУМ»;Россия;296;разборная;сварная (нержавеющая сталь AISI 430. 0.7 мм);нет;уголок 40х40 (оцинковая сталь. 1.5 мм);4 стороны (оцинкованная сталь. 0.7 мм);есть;400х400х300;30;опора-болт;520;520;12;320;заглушка для отверстия под смеситель;11;;;;;;7 074;RUB
3740;Ванна моечная ВМС-С-1/500 (600х600х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01.png;;html;vanna-moechnaya-vms-s-1-500-600x600x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01.png;Для каждого предприятия общепита ванна моечная – неотъемлемый элемент кухни. У данной модели сварная раковина из нержавеющей стали и в отличие от цельнотянутой ее глубина может изменяться по желанию клиента.;850;600;600;ООО «АССУМ»;Россия;296;разборная;сварная (нержавеющая сталь AISI 430. 0.7 мм);нет;уголок 40х40 (оцинковая сталь. 1.5 мм);4 стороны (оцинкованная сталь. 0.7 мм);есть;500х500х300;30;опора-болт;620;620;13;320;заглушка для отверстия под смеситель;12;;;;;;8 131;RUB
3741;Ванна моечная ВМС-С-1/600 (700х700х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01.png;;html;vanna-moechnaya-vms-s-1-600-700x700x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01.png;Для каждого предприятия общепита ванна моечная – неотъемлемый элемент кухни. У данной модели сварная раковина из нержавеющей стали и в отличие от цельнотянутой ее глубина может изменяться по желанию клиента.;850;700;700;ООО «АССУМ»;Россия;296;разборная;сварная (нержавеющая сталь AISI 430. 0.7 мм);нет;уголок 40х40 (оцинковая сталь. 1.5 мм);4 стороны (оцинкованная сталь. 0.7 мм);есть;600х600х400;30;опора-болт;720;720;21.5;420;заглушка для отверстия под смеситель;20.5;;;;;;10 175;RUB
3742;Ванна моечная ВМС-С-1/700 (800х800х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01.png;;html;vanna-moechnaya-vms-s-1-700-800x800x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01.png;Для каждого предприятия общепита ванна моечная – неотъемлемый элемент кухни. У данной модели сварная раковина из нержавеющей стали и в отличие от цельнотянутой ее глубина может изменяться по желанию клиента.;850;800;800;ООО «АССУМ»;Россия;296;разборная;сварная (нержавеющая сталь AISI 430. 1 мм);нет;уголок 40х40 (оцинковая сталь. 1.5 мм);4 стороны (оцинкованная сталь. 0.7 мм);есть;700х700х450;30;опора-болт;820;470;24;470;заглушка для отверстия под смеситель;22.9;;;;;;14 088;RUB
3744;Ванна моечная ВМС-С-2/400 (1000х500х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;;html;vanna-moechnaya-vms-s-2-400-1000x500x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;Для каждого предприятия общепита ванна моечная – неотъемлемый элемент кухни. У данной модели сварная раковина из нержавеющей стали и в отличие от цельнотянутой ее глубина может изменяться по желанию клиента.;850;500;1000;ООО «АССУМ»;Россия;296;разборная;сварная (нержавеющая сталь AISI 430. 0.7 мм);нет;уголок 40х40 (оцинковая сталь. 1.5 мм);4 стороны (оцинкованная сталь. 0.7 мм);есть;400х400х300;30;опора-болт;1020;520;18;320;заглушка для отверстия под смеситель;16.9;;;;;;12 113;RUB
3745;Ванна моечная ВМС-С-2/500 (1200х600х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;;html;vanna-moechnaya-vms-s-2-500-1200x600x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;Для каждого предприятия общепита ванна моечная – неотъемлемый элемент кухни. У данной модели сварная раковина из нержавеющей стали и в отличие от цельнотянутой ее глубина может изменяться по желанию клиента.;850;600;1200;ООО «АССУМ»;Россия;296;разборная;сварная (нержавеющая сталь AISI 430. 0.7 мм);нет;уголок 40х40 (оцинковая сталь. 1.5 мм);4 стороны (оцинкованная сталь. 0.7 мм);есть;500х500х300;30;опора-болт;1220;620;22;320;заглушка для отверстия под смеситель;19.5;;;;;;14 033;RUB
3746;Ванна моечная ВМС-С-2/600 (1400х700х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;;html;vanna-moechnaya-vms-s-2-600-1400x700x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;Для каждого предприятия общепита ванна моечная – неотъемлемый элемент кухни. У данной модели сварная раковина из нержавеющей стали и в отличие от цельнотянутой ее глубина может изменяться по желанию клиента.;850;700;1400;ООО «АССУМ»;Россия;296;разборная;сварная (нержавеющая сталь AISI 430. 0.7 мм);;уголок 40х40 (оцинковая сталь. 1.5 мм);4 стороны (оцинкованная сталь. 0.7 мм);есть;600х600х400;30;опора-болт;1420;720;38;420;заглушка для отверстия под смеситель;36;;;;;;17 741;RUB
3747;Ванна моечная ВМС-С-2/700 (1600х800х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;;html;vanna-moechnaya-vms-s-2-700-1600x800x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;Для каждого предприятия общепита ванна моечная – неотъемлемый элемент кухни. У данной модели сварная раковина из нержавеющей стали и в отличие от цельнотянутой ее глубина может изменяться по желанию клиента.;850;800;1600;ООО «АССУМ»;Россия;296;разборная;сварная (нержавеющая сталь AISI 430. 1 мм);нет;уголок 40х40 (оцинковая сталь. 1.5 мм);4 стороны (оцинкованная сталь. 0.7 мм);есть;700х700х450;30;опора-болт;1620;820;42.8;470;заглушка для отверстия под смеситель;40.5;0.62;;;;;26 804;RUB
3749;Ванна моечная ВМС-С-3/600 (2100х700х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03.png;;html;vanna-moechnaya-vms-s-3-600-2100x700x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03.png;Ванна моечная с тремя раковинами чаще всего используется в крупных заведениях общественного питания, производствах. Данная конструкция выручит, если вы имеете дело с большим количеством инвентаря, который проходит процедуру мойки.;850;700;2100;ООО «АССУМ»;Россия;296;;сварная (нержавеющая сталь AISI 430. 0.7 мм);нет;уголок 40х40 (оцинковая сталь. 1.5 мм);4 стороны (оцинкованная сталь. 0.7 мм);есть;;30;опора-болт;;;;;заглушка для отверстия под смеситель;;;;;;;26 481;RUB
3751;Ванна моечная ВМС-П-1/400 (500х500х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01.png;;html;vanna-moechnaya-vms-p-1-400-500x500x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01.png;Ванна моечная со сварной раковиной 400х400х300 мм. Каркас выполнен из нержавеющей стали.;850;500;500;ООО «АССУМ»;Россия;296;;;;;;;;;;;;;;;;;;;;;8 473;RUB
3752;Ванна моечная ВМС-П-1/500 (600х600х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01.png;;html;vanna-moechnaya-vms-p-1-500-600x600x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01.png;Ванна моечная со сварной раковиной 500х500х300 мм. Каркас выполнен из нержавеющей стали.;850;600;600;ООО «АССУМ»;Россия;296;;;;;;;;;;;;;;;;;;;;;9 621;RUB
3753;Ванна моечная ВМС-П-1/600 (700х700х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01.png;;html;vanna-moechnaya-vms-p-1-600-700x700x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01.png;Ванна моечная со сварной раковиной 600х600х400 мм. Каркас выполнен из нержавеющей стали.;850;700;700;ООО «АССУМ»;Россия;296;;;;;;;;;;;;;;;;;;;;;11 771;RUB
3754;Ванна моечная ВМС-П-1/700 (800х800х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01.png;;html;vanna-moechnaya-vms-p-1-700-800x800x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01.png;Ванна моечная со сварной раковиной 700х700х450 мм. Каркас выполнен из нержавеющей стали.;850;800;800;ООО «АССУМ»;Россия;296;;;;;;;;;;;;;;;;;;;;;15 504;RUB
3756;Ванна моечная ВМС-П-2/400 (1000х500х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;;html;vanna-moechnaya-vms-p-2-400-1000x500x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;Ванна моечная со сварными раковинами 400х400х300 мм. Каркас выполнен из нержавеющей стали.;850;500;1000;ООО «АССУМ»;Россия;296;;;;;;;;;;;;;;;;;;;;;13 773;RUB
3757;Ванна моечная ВМС-П-2/500 (1200х600х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;;html;vanna-moechnaya-vms-p-2-500-1200x600x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;Ванна моечная со сварными раковинами 500х500х300 мм. Каркас выполнен из нержавеющей стали.;850;600;1200;ООО «АССУМ»;Россия;296;;;;;;;;;;;;;;;;;;;;;15 822;RUB
3758;Ванна моечная ВМС-П-2/600 (1400х700х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;;html;vanna-moechnaya-vms-p-2-600-1400x700x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;Ванна моечная со сварными раковинами 600х600х400 мм. Каркас выполнен из нержавеющей стали.;850;700;1400;ООО «АССУМ»;Россия;296;;;;;;;;;;;;;;;;;;;;;19 759;RUB
3759;Ванна моечная ВМС-П-2/700 (1600х800х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;;html;vanna-moechnaya-vms-p-2-700-1600x800x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;Ванна моечная со сварными раковинами 700х700х450 мм. Каркас выполнен из нержавеющей стали.;850;800;1600;ООО «АССУМ»;Россия;296;;;;;;;;;;;;;;;;;;;;;28 733;RUB
3761;Ванна моечная ВМС-П-3/400 (1500х500х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03.png;;html;vanna-moechnaya-vms-p-3-400-1500x500x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03.png;Ванна моечная со сварными раковинами 400х400х300 мм. Каркас выполнен из нержавеющей стали.;850;500;1500;ООО «АССУМ»;Россия;296;;;;;;;;;;;;;;;;;;;;;20 145;RUB
3762;Ванна моечная ВМС-П-3/500 (1800х600х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03.png;;html;vanna-moechnaya-vms-p-3-500-1800x600x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03.png;Ванна моечная со сварными раковинами 500х500х300 мм. Каркас выполнен из нержавеющей стали.;850;600;1800;ООО «АССУМ»;Россия;296;;;;;;;;;;;;;;;;;;;;;23 848;RUB
3763;Ванна моечная ВМС-П-3/600 (2100х700х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03.png;;html;vanna-moechnaya-vms-p-3-600-2100x700x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03.png;Ванна моечная со сварными раковинами 600х600х400 мм. Каркас выполнен из нержавеющей стали.;850;700;2100;ООО «АССУМ»;Россия;296;;;;;;;;;;;;;;;;;;;;;29 169;RUB
3765;Ванна моечная с рабочей поверхностью ВСРП-С-4/10-Л (1000х600х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04.png;;html;vanna-moechnaya-s-rabochej-poverxnostyu-vsrp-s-4-10-l-1000x600x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04.png;Ванна моечная с рабочей поверхностью ВСРП-С-4/10-Л (1000х600х850);850;600;1000;ООО «АССУМ»;Россия;296;;сварная (нержавеющая сталь AISI 430. 1 мм);есть;уголок 40х40 (оцинковая сталь. 1.5 мм);4 стороны (оцинкованная сталь. 0.7 мм);есть;;;;;;;;заглушка для отверстия под смеситель;;;нержавеющая сталь (AISI 430. 1 мм);;;;14 281;RUB
3766;Ванна моечная с рабочей поверхностью ВСРП-С-4/10-П (1000х600х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04.png;;html;vanna-moechnaya-s-rabochej-poverxnostyu-vsrp-s-4-10-p-1000x600x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04.png;Ванна моечная с рабочей поверхностью ВСРП-С-4/10-Л (1000х600х850);850;600;1000;ООО «АССУМ»;Россия;296;;сварная (нержавеющая сталь AISI 430. 1 мм);нет;уголок 40х40 (оцинковая сталь. 1.5 мм);4 стороны (оцинкованная сталь. 0.7 мм);есть;;;;;;;;;;;нержавеющая сталь (AISI 430. 1 мм);;;;14 281;RUB
3767;Ванна моечная с рабочей поверхностью ВСРП-С-4/12-Л (1200х600х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04.png;;html;vanna-moechnaya-s-rabochej-poverxnostyu-vsrp-s-4-12-l-1200x600x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04.png;Ванна моечная с рабочей поверхностью;850;600;1200;ООО «АССУМ»;Россия;296;;сварная (нержавеющая сталь AISI 430. 1 мм);есть;уголок 40х40 (оцинковая сталь. 1.5 мм);4 стороны (оцинкованная сталь. 0.7 мм);есть;;;;;;;;;;;нержавеющая сталь (AISI 430. 1 мм);;;;15 449;RUB
3768;Ванна моечная с рабочей поверхностью ВСРП-С-4/12-П (1200х600х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04.png;;html;vanna-moechnaya-s-rabochej-poverxnostyu-vsrp-s-4-12-p-1200x600x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04.png;Ванна моечная с рабочей поверхностью;850;600;1200;ООО «АССУМ»;Россия;296;;сварная (нержавеющая сталь AISI 430. 1 мм);есть;уголок 40х40 (оцинковая сталь. 1.5 мм);4 стороны (оцинкованная сталь. 0.7 мм);есть;;;;;;;;;;;нержавеющая сталь (AISI 430. 1 мм);;;;15 449;RUB
3769;Ванна моечная с рабочей поверхностью ВСРП-С-4/15-Л (1500х600х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04.png;;html;vanna-moechnaya-s-rabochej-poverxnostyu-vsrp-s-4-15-l-1500x600x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04.png;Ванна моечная с рабочей поверхностью;850;600;1500;ООО «АССУМ»;Россия;296;;сварная (нержавеющая сталь AISI 430. 1 мм);есть;уголок 40х40 (оцинковая сталь. 1.5 мм);4 стороны (оцинкованная сталь. 0.7 мм);есть;;;;;;;;;;;нержавеющая сталь (AISI 430. 1 мм);;;;17 393;RUB
3770;Ванна моечная с рабочей поверхностью ВСРП-С-4/15-П (1500х600х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04.png;;html;vanna-moechnaya-s-rabochej-poverxnostyu-vsrp-s-4-15-p-1500x600x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04.png;Ванна моечная с рабочей поверхностью;850;600;1500;ООО «АССУМ»;Россия;296;;сварная (нержавеющая сталь AISI 430. 1 мм);есть;уголок 40х40 (оцинковая сталь. 1.5 мм);4 стороны (оцинкованная сталь. 0.7 мм);есть;;;;;;;;;;;нержавеющая сталь (AISI 430. 1 мм);;;;17 393;RUB
3771;Ванна моечная с рабочей поверхностью ВСРП-С-5/10-Л (1000х700х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04.png;;html;vanna-moechnaya-s-rabochej-poverxnostyu-vsrp-s-5-10-l-1000x700x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04.png;Ванна моечная с рабочей поверхностью;850;700;1000;ООО «АССУМ»;Россия;296;;сварная (нержавеющая сталь AISI 430. 1 мм);есть;уголок 40х40 (оцинковая сталь. 1.5 мм);4 стороны (оцинкованная сталь. 0.7 мм);есть;;;;;;;;заглушка для отверстия под смеситель;;;нержавеющая сталь (AISI 430. 1 мм);;;;15 830;RUB
