IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IE_DETAIL_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP330;IP_PROP331;IP_PROP332;IP_PROP333;IP_PROP334;IP_PROP335;IP_PROP74;IP_PROP336;IP_PROP337;IP_PROP338;IP_PROP346;IP_PROP348;IP_PROP349;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1;CV_CURRENCY_1
3374;;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01.png;;html;;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01.png;Ванна моечная односекционная. Для каждого предприятия общепита ванна моечная – неотъемлемый элемент кухни. У данной модели сварная раковина из нержавеющей стали и в отличие от цельнотянутой ее глубина может изменяться по желанию клиента.;разборная;сварная (нержавеющая сталь AISI 430. 0.7 мм);нет;уголок 40х40 (оцинковая сталь. 1.5 мм);4 стороны (оцинкованная сталь. 0.7 мм);есть;ООО «АССУМ»;30;опора-болт;заглушка для отверстия под смеситель;;;;Нейтральное оборудование;Ванны моечные;Ванна моечная односекционная, сварная, оцинкованный каркас;;RUB
3379;;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;;html;;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;Для каждого предприятия общепита ванна моечная – неотъемлемый элемент кухни. У данной модели сварная раковина из нержавеющей стали и в отличие от цельнотянутой ее глубина может изменяться по желанию клиента.;разборная;сварная (нержавеющая сталь AISI 430. 0.7 мм);нет;уголок 40х40 (оцинковая сталь. 1.5 мм);4 стороны (оцинкованная сталь. 0.7 мм);есть;;30;опора-болт;заглушка для отверстия под смеситель;;;;Нейтральное оборудование;Ванны моечные;Ванна моечная, двухсекционная, сварная, оцинкованный каркас;;RUB
3384;;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03.png;;html;;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03.png;Ванна моечная с тремя раковинами чаще всего используется в крупных заведениях общественного питания, производствах. Данная конструкция выручит, если вы имеете дело с большим количеством инвентаря, который проходит процедуру мойки.;разборная;сварная (нержавеющая сталь AISI 430. 0.7 мм);нет;уголок 40х40 (оцинковая сталь. 1.5 мм);4 стороны (оцинкованная сталь. 0.7 мм);есть;;30;опора-болт;заглушка для отверстия под смеситель;;;;Нейтральное оборудование;Ванны моечные;Ванна моечная, трехсекционная, сварная, оцинкованный каркас;;RUB
3386;;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01.png;;html;;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01.png;Для каждого предприятия общепита ванна моечная – неотъемлемый элемент кухни. У данной модели сварная раковина из нержавеющей стали и в отличие от цельнотянутой ее глубина может изменяться по желанию клиента.;;;;;;;;;;;;;;Нейтральное оборудование;Ванны моечные;Ванна моечная, односекционная, сварная, нержавеющий каркас;;RUB
3391;;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;;html;;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;;;;;;;;;;;;;;;Нейтральное оборудование;Ванны моечные;Ванна моечная, двухсекционная, сварная, нержавеющий каркас;;RUB
3396;;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03.png;;html;;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03.png;;;;;;;;;;;;;;;Нейтральное оборудование;Ванны моечные;Ванна моечная, трехсекционная, сварная, нержавеющий каркас;;RUB
3400;;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04.png;;html;;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04.png;Моечную ванну с рабочей поверхностью устанавливают в отделе заготовок и моечных на предприятиях общепита. На столешницу можно ставить инвентарь после процедуры мойки. В результате необходимость в разделочном столе просто отпадает. Ванна сварная.;разборная;сварная (нержавеющая сталь AISI 430. 1 мм);есть;уголок 40х40 (оцинковая сталь. 1.5 мм);4 стороны (оцинкованная сталь. 0.7 мм);есть;;;;;нержавеющая сталь (AISI 430. 1 мм);;;Нейтральное оборудование;Ванны моечные;Ванна сварная, с рабочей поверхностью, оцинкованный каркас;;RUB
3419;;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04.png;;html;;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04.png;Ванна сварная с рабочей поверхностью. Устанавливают в отделе заготовок и моечных на предприятиях общепита. На столешницу можно ставить инвентарь после процедуры мойки. В результате необходимость в разделочном столе просто отпадает.;разборная;сварная (нержавеющая сталь AISI 430. 1 мм);есть;уголок 40х40 (нержавеющая сталь AISI 430. 1.5 мм);4 стороны (оцинкованная сталь. 0.7 мм);есть;;;;заглушка для отверстия под смеситель;нержавеющая сталь (AISI 430. 1 мм);;;Нейтральное оборудование;Ванны моечные;Ванна сварная, с рабочей поверхностью, нержавеющий каркас;;RUB
3438;;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/05.png;;html;;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/05.png;Ванна котломоечная со сварной раковиной используется для мытья крупногабаритного кухонного инвентаря (кастрюли, противни, подносы, казаны) и устанавливается в моечных предприятий общепита.;разборная;сварная (нержавеющая сталь AISI 430. 1 мм);нет;уголок 40х40 (оцинковая сталь. 1.5 мм);4 стороны (оцинкованная сталь. 0.7 мм);есть;;30;опора-болт;заглушка для отверстия под смеситель;;;;Нейтральное оборудование;Ванны моечные;Ванна котломоечная, сварная, оцинкованный каркас;;RUB
3443;;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-1.png;;html;;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-1.png;Идеальный вариант для маленького предприятия общепита. Рукомойник консольный выполнен из нержавеющей стали и имеет цельнотянутую мойку.;;цельнотянутая (нержавеющая сталь AISI 430. 0.5 мм);нет;;;;;;;сливной сифон;;консольное (к стене);;Нейтральное оборудование;Ванны моечные;Рукомойник консольный;;RUB
3445;;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-1.png;;html;;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-1.png;Рукомойник на оцинкованном каркасе очень часто можно увидеть в маленьких заведениях общепита. У модели цельнотянутая мойка из нержавеющей стали с «юбкой».;разборная;цельнотянутая (нержавеющая сталь AISI 430. 0.5 мм);;уголок 40х40 (оцинковая сталь. 1.5 мм);4 стороны (оцинкованная сталь. 0.7 мм);есть;;;;;;;;Нейтральное оборудование;Ванны моечные;Рукомойник на оцинкованном каркасе;;RUB
3447;;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-1.png;;html;;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-1.png;Идеальный вариант для маленького предприятия общепита. Рукомойник на нержавеющем каркасе. Выполнен из нержавеющей стали и имеет цельнотянутую мойку.;разборная;цельнотянутая (нержавеющая сталь AISI 430. 0.5 мм);;уголок 40х40 (нержавеющая сталь AISI 430. 1.5 мм);;есть;;;;;;;;Нейтральное оборудование;Ванны моечные;Рукомойник на нержавеющем каркасе;;RUB
3449;;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04-1.png;;html;;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04-1.png;Цельнотянутые раковины выбирают за их эстетических вид и долговечность. Ванна моечная может быть представлена как с одной, так и с двумя секциями.;разборная;цельнотянутая (нержавеющая сталь AISI 304. 1 мм);есть;уголок 40х40 (оцинковая сталь. 1.5 мм);4 стороны (оцинкованная сталь. 0.7 мм);есть;;30;опора-болт;заглушка для отверстия под смеситель;;;45;Нейтральное оборудование;Ванны моечные;Ванна моечная, односекционная, цельнотянутая, оцинкованный каркас;;RUB
3452;;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/05-1.png;;html;;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/05-1.png;Ванна моечная. Цельнотянутые раковины выбирают за их эстетических вид и долговечность.;разборная;цельнотянутая (нержавеющая сталь AISI 304. 1 мм);есть;уголок 40х40 (оцинковая сталь. 1.5 мм);4 стороны (оцинкованная сталь. 0.7 мм);есть;;30;опора-болт;заглушка для отверстия под смеситель;;;45;Нейтральное оборудование;Ванны моечные;Ванна моечная, двухсекционная, цельнотянутая, оцинкованный каркас;;RUB
3455;;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04-1.png;;html;;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04-1.png;Изготавливаются из высококачественной нержавеющей стали. При необходимости ванна моечная может быть оснащена пристеночным бортом, что защитит стены от попадания брызг воды. Вы можете самостоятельно подобрать сантехнику, подходящую для вашей кухни, так как оборудование поставляется без сифона.;разборная;цельнотянутая (нержавеющая сталь AISI 304. 1 мм);есть;уголок 40х40 (нержавеющая сталь AISI 430. 1.5 мм);4 стороны (нержавеющая сталь. 1.5 мм);есть;;30;опора-болт;заглушка для отверстия под смеситель;;;45;Нейтральное оборудование;Ванны моечные;Ванна моечная, односекционная, цельнотянутая, нержавеющий каркас;;RUB
3459;;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/05-1.png;;html;;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/05-1.png;Изготавливаются из высококачественной нержавеющей стали. При необходимости Ванна моечная может быть оснащена пристеночным бортом, что защитит стены от попадания брызг воды. Вы можете самостоятельно подобрать сантехнику, подходящую для вашей кухни, так как оборудование поставляется без сифона.;разборная;цельнотянутая (нержавеющая сталь AISI 304. 1 мм);есть;уголок 40х40 (нержавеющая сталь AISI 430. 1.5 мм);4 стороны (нержавеющая сталь. 1.5 мм);есть;;30;опора-болт;заглушка для отверстия под смеситель;;;45;Нейтральное оборудование;Ванны моечные;Ванна моечная, двухсекционная, цельнотянутая, нержавеющий каркас;;RUB
