IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IE_DETAIL_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP59;IP_PROP64;IP_PROP324;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP81;IC_GROUP0;IC_GROUP1;CV_PRICE_1;CV_CURRENCY_1
3056;Офисный сейф КЗ-065 Т;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_kz-223tk3.jpg;;html;Ofisnyj-sejf-KZ-065-T;html;https://paksmet.ru/components/com_jshopping/files/img_products/kz-223tk3.jpg;<p>Внутри сейфа располагается отсек ограниченного доступа (трейзер), запираемый на замок «почтового» типа и 2полки. В дне сейфа предусмотрено отверстие Ø11 мм для возможности анкерного крепления его к полу. Дверь сейфа оборудована запорным механизмомс 2-х сторонней ригельной системой запирания (4  ригеля + пассивный П-образный ригель со стороны петель), который блокируется ключевым сейфовым замком класса «А» фирмы «CAWI» или «MAUER» производства Германии. Запорный механизм приводится в действие при помощи ручки. Чтобы открыть сейф необходимо: вставить ключ в замочную скважину, открыть замок и повернуть ручку на 90°. Закрывать в обратном порядке. Петли сейфа наружные, открывание двери – на 180°.</p>;https://paksmet.ru/components/com_jshopping/files/img_products/mehan.png;https://paksmet.ru/catalog/sertifikat/SS_KZ.pdf;2 съемные полки, отсек ограниченного доступа (трейзер);1245;500;445;полимерное порошковое покрытие серого цвета (RAL 7030);Сейфы;Офисные сейфы КЗ;35 139;RUB
3057;Офисный сейф КЗ-045 Т;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_18.jpg;;html;Ofisnyj-sejf-KZ-045-T;html;https://paksmet.ru/components/com_jshopping/files/img_products/18.jpg;<p>Сейф представляет собой сварную металлическую конструкцию, состоящую из наружного и внутреннего корпусов. Межстенное пространство корпуса и двери заполнено специальными составами, материалами и конструктивными элементами, обеспечивающими необходимую для данного изделия взломостойкость.Внутри сейфа располагается отсек ограниченного доступа (трейзер), запираемый на замок «почтового» типа и одна съемная полка. В дне сейфа предусмотрено отверстие Ø11 мм для возможности анкерного крепления его к полу. Дверь сейфа оборудована запорным механизмом с 2-х сторонней ригельной системой запирания (по 4 ригеля Ø28 мм + пассивный П-образный ригель со стороны петель), который блокируется ключевым сейфовым замком класса «А» фирмы «CAWI» или «MAUER» производства Германии. Запорный механизм приводится в действие при помощи ручки. Чтобы открыть сейф необходимо: вставить ключ в замочную скважину, открыть замок и повернуть ручку на 90°. Закрывать в обратном порядке. Петли сейфа наружные, открывание двери – на 180°.</p>;https://paksmet.ru/components/com_jshopping/files/img_products/mehan.png;https://paksmet.ru/catalog/sertifikat/SS_KZ.pdf;1 съемная полка, отсек ограниченного доступа (трейзер);945;450;445;полимерное порошковое покрытие серого цвета (RAL 7030);Сейфы;Офисные сейфы КЗ;30 375;RUB
3058;Офисный сейф КЗ-065 ТК;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_13.jpg;;html;Ofisnyj-sejf-KZ-065-TK;html;https://paksmet.ru/components/com_jshopping/files/img_products/13.jpg;<p>Внутри сейфа располагается отсек ограниченного доступа (трейзер), запираемый на замок «почтового» типа и 2 полки. В дне сейфа предусмотрено отверстие Ø11 мм для возможности анкерного крепления его к полу. Дверь сейфа оборудована запорным механизмом с 2-х сторонней ригельной системой запирания (4  ригеля + пассивный П-образный ригель со стороны петель), который блокируется ключевым сейфовым замком класса «А» фирмы «CAWI» или «MAUER» производства Германии, дополнительно к ключевому замку установлен механический кодовый замок фирмы «CAWI» . Запорный механизм приводится в действие при помощи ручки. Чтобы открыть сейф необходимо: вставить ключ в замочную скважину, открыть замок и повернуть ручку на 90°. Закрывать в обратном порядке. Петли сейфа наружные, открывание двери – на 180°.</p>;https://paksmet.ru/components/com_jshopping/files/img_products/kod-kluch.png;https://paksmet.ru/catalog/sertifikat/SS_KZ.pdf;2 съемные полки, отсек ограниченного доступа (трейзер);1245;500;445;полимерное порошковое покрытие серого цвета (RAL 7030);Сейфы;Офисные сейфы КЗ;41 430;RUB
3059;Офисный сейф КЗ-233 ТК;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_kz-233tk.jpg;;html;Ofisnyj-sejf-KZ-233-TK;html;https://paksmet.ru/components/com_jshopping/files/img_products/kz-233tk.jpg;<p>Сейф «КЗ 233тк» имеет 2 независимых отделения, запираемых собственной дверью. В верхнем отделении располагается отсек ограниченного доступа (трейзер), запираемый на замок «почтового» типа и одна полка, в нижнем – одна полка. В дне сейфа предусмотрено отверстие Ø11 мм для возможности анкерного крепления его к полу. Каждая дверь сейфа оборудована запорным механизмомс 2-х сторонней ригельной системой запирания (по 3 ригеля Ø28 мм вправо/влево), который блокируется ключевым сейфовым замком класса «А» фирмы «CAWI» или «MAUER» производства Германии, дополнительно к ключевому замку оборудован механическим кодовым замком фирмы «CAWI». Запорный механизм приводится в действие при помощи ручки. Чтобы открыть сейф необходимо: вставить ключ в замочную скважину, открыть замок и повернуть ручку на 90°. Закрывать в обратном порядке. Петли сейфа наружные, открывание двери – на 180°.</p>;;https://paksmet.ru/catalog/sertifikat/SS_KZ.pdf;2 съемные полки, отсек ограниченного доступа (трейзер), механический кодовый замок фирмы «CAWI»;1410;500;445;полимерное порошковое покрытие серого цвета (RAL 7030);Сейфы;Офисные сейфы КЗ;55 961;RUB
3060;Офисный сейф КЗ-223 Т;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_kz-223tk1.jpg;;html;Ofisnyj-sejf-KZ-223-T;html;https://paksmet.ru/components/com_jshopping/files/img_products/kz-223tk1.jpg;<p>Сейф «КЗ 223т» имеет 2 независимых отделения, запираемых собственной дверью. В верхнем отделении располагается отсек ограниченного доступа (трейзер), запираемый на замок «почтового» типа и одна съемная полка, в нижнем – одна съемная полка. В дне сейфа предусмотрено отверстие Ø11 мм для возможности анкерного крепления его к полу. Каждая дверь сейфа оборудована запорным механизмомс 2-х сторонней ригельной системой запирания (по 2 ригеля Ø28 мм вправо/влево), который блокируется ключевым сейфовым замком класса «А» фирмы «CAWI» или «MAUER» производства Германии. Запорный механизм приводится в действие при помощи ручки. Чтобы открыть сейф необходимо: вставить ключ в замочную скважину, открыть замок и повернуть ручку на 90°. Закрывать в обратном порядке. Петли сейфа наружные, открывание двери – на 180°.</p>;https://paksmet.ru/components/com_jshopping/files/img_products/mehan.png;https://paksmet.ru/catalog/sertifikat/SS_KZ.pdf;2 съемные полки, отсек ограниченного доступа (трейзер);1210;450;395;полимерное порошковое покрытие серого цвета (RAL 7030);Сейфы;Офисные сейфы КЗ;39 003;RUB
3061;Офисный сейф КЗ-223 ТК;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_kz-223tk.jpg;;html;Ofisnyj-sejf-KZ-223-TK;html;https://paksmet.ru/components/com_jshopping/files/img_products/kz-223tk.jpg;<p>Сейф «КЗ 223тк» имеет 2 независимых отделения, запираемых собственной дверью. В верхнем отделении располагается отсек ограниченного доступа (трейзер), запираемый на замок «почтового» типа и одна съемная полка, в нижнем – одна съемная полка. В дне сейфа предусмотрено отверстие Ø11 мм для возможности анкерного крепления его к полу. Каждая дверь сейфа оборудована запорным механизмом с 2-х сторонней ригельной системой запирания (по 2 ригеля Ø28 мм вправо/влево), который блокируется ключевым сейфовым замком класса «А» фирмы «CAWI» или «MAUER» производства Германии, дополнительно к ключевому замку оборудован механическим кодовым замком фирмы «CAWI» . Запорный механизм приводится в действие при помощи ручки. Чтобы открыть сейф необходимо: вставить ключ в замочную скважину, открыть замок и повернуть ручку на 90°. Закрывать в обратном порядке. Петли сейфа наружные, открывание двери – на 180°.</p>;https://paksmet.ru/components/com_jshopping/files/img_products/kod-kluch.png;https://paksmet.ru/catalog/sertifikat/SS_KZ.pdf;2 съемные полки, отсек ограниченного доступа (трейзер), механический кодовый замок фирмы «CAWI»;1210;450;395;полимерное порошковое покрытие серого цвета (RAL 7030);Сейфы;Офисные сейфы КЗ;51 866;RUB
3062;Офисный сейф КЗ-045 ТК;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_14.jpg;;html;Ofisnyj-sejf-KZ-045-TK;html;https://paksmet.ru/components/com_jshopping/files/img_products/14.jpg;<p>Сейф представляет собой сварную металлическую конструкцию, состоящую из наружного и внутреннего корпусов. Межстенное пространство корпуса и двери заполнено специальными составами, материалами и конструктивными элементами, обеспечивающими необходимую для данного изделия взломостойкость.Внутри сейфа располагается отсек ограниченного доступа (трейзер), запираемый на замок «почтового» типа и одна съемная полка. В дне сейфа предусмотрено отверстие Ø11 мм для возможности анкерного крепления его к полу. Дверь сейфа оборудована запорным механизмом с 2-х сторонней ригельной системой запирания (4 ригеля Ø28 мм + пассивный П-образный ригель со стороны петель), который блокируется ключевым сейфовым замком класса «А» фирмы «CAWI» или «MAUER», дополнительно к ключевому замку установлен механический кодовый замок фирмы «CAWI» производства Германии. Запорный механизм приводится в действие при помощи ручки. Петли сейфа наружные, открывание двери – на 180°.</p>;https://paksmet.ru/components/com_jshopping/files/img_products/kod-kluch.png;https://paksmet.ru/catalog/sertifikat/SS_KZ.pdf;1 съемная полка, отсек ограниченного доступа (трейзер), механический кодовый замок;945;500;445;полимерное порошковое покрытие серого цвета (RAL 7030);Сейфы;Офисные сейфы КЗ;36 577;RUB
3063;Офисный сейф КЗ-0132 ТК;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_111.jpg;;html;Ofisnyj-sejf-KZ-0132-TK;html;https://paksmet.ru/components/com_jshopping/files/img_products/111.jpg;<p>Сейф представляет собой сварную металлическую конструкцию, состоящую из наружного и внутреннего корпусов. Межстенное пространство корпуса и двери заполнено специальными составами, материалами и конструктивными элементами, обеспечивающими необходимую для данного изделия взломостойкость.Внутри сейфа располагается отсек ограниченного доступа (трейзер), запираемый на замок «почтового» типа и одна съемная полка. В дне сейфа предусмотрено отверстие Ø11 мм для возможности анкерного крепления его к полу. Дверь сейфа оборудована запорным механизмом с 2-х сторонней ригельной системой запирания (по 2 ригеля Ø28 мм вправо/влево), который блокируется ключевым сейфовым замком класса «А» фирмы «CAWI» или «MAUER», дополнительно к ключевому замку установлен механический кодовый замок фирмы «CAWI» производства Германии. Запорный механизм приводится в действие при помощи ручки. Петли сейфа наружные, открывание двери – на 180°.</p>;https://paksmet.ru/components/com_jshopping/files/img_products/kod-kluch.png;https://paksmet.ru/catalog/sertifikat/SS_KZ.pdf;1 съемная полка, отсек ограниченного доступа (трейзер), механический кодовый замок;645;450;395;полимерное порошковое покрытие серого цвета (RAL 7030);Сейфы;Офисные сейфы КЗ;26 573;RUB
3064;Офисный сейф КЗ-053 Т;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_kz-223tk2.jpg;;html;Ofisnyj-sejf-KZ-053-T;html;https://paksmet.ru/components/com_jshopping/files/img_products/kz-223tk2.jpg;<p>Сейф представляет собой сварную металлическую конструкцию, состоящую из наружного и внутреннего корпусов. Межстенное пространство корпуса и двери заполнено специальными составами, материалами и конструктивными элементами, обеспечивающими необходимую для данного изделия взломостойкость.Внутри сейфа «КЗ 053т» располагается 1 съемная полка и отсек ограниченного доступа (трейзер), запираемый на замок почтового типа. В дне сейфа предусмотрено отверстие Ø11 мм для возможности анкерного крепления его к полу. Запирание сейфа осуществляется за счет ключевого сейфового замка класса «А» с ригельной системой — 2 активных ригеля Ø28 мм в сторону. Петли сейфа наружные, открывание двери – на 180°.</p>;;https://paksmet.ru/catalog/sertifikat/SS_KZ.pdf;1 съемная полка, отсек ограниченного доступа (трейзер);360;450;395;полимерное порошковое покрытие серого цвета (RAL 7030);Сейфы;Офисные сейфы КЗ;15 272;RUB
3065;Офисный сейф КЗ-054;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_12.jpg;;html;Ofisnyj-sejf-KZ-054;html;https://paksmet.ru/components/com_jshopping/files/img_products/12.jpg;<p>Внутри сейфа «КЗ 054» располагаются 2 съемные полки. В дне сейфа предусмотрено отверстие Ø11 мм для возможности анкерного крепления его к полу. Запирание сейфа осуществляется за счет ключевого сейфового замка класса «А» с ригельной системой — 2 активных ригеля Ø28 мм в сторону и пассивный П-образный ригель со стороны петель. Петли сейфа наружные, открывание двери – на 180°.</p>;;https://paksmet.ru/catalog/sertifikat/SS_KZ.pdf;2 съемные полки;450;360;395;полимерное порошковое покрытие серого цвета (RAL 7030);Сейфы;Офисные сейфы КЗ;14 639;RUB
3066;Офисный сейф КЗ-0132;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_112.jpg;;html;Ofisnyj-sejf-KZ-0132;html;https://paksmet.ru/components/com_jshopping/files/img_products/112.jpg;<p>Сейф представляет собой сварную металлическую конструкцию, состоящую из наружного и внутреннего корпусов. Межстенное пространство корпуса и двери заполнено специальными составами, материалами и конструктивными элементами, обеспечивающими необходимую для данного изделия взломостойкость.Внутри сейфа располагается одна съемная полка. В дне сейфа предусмотрено отверстие Ø11 мм для возможности анкерного крепления его к полу. Дверь сейфа оборудована запорным механизмом с 2-х сторонней ригельной системой запирания (по 2 ригеля Ø28 мм вправо/влево), который блокируется ключевым сейфовым замком класса «А» фирмы «CAWI» или «MAUER» производства Германии. Запорный механизм приводится в действие при помощи ручки. Чтобы открыть сейф необходимо: вставить ключ в замочную скважину, открыть замок и повернуть ручку на 90°. Закрывать в обратном порядке. Петли сейфа наружные, открывание двери – на 180°.</p>;https://paksmet.ru/components/com_jshopping/files/img_products/mehan.png;https://paksmet.ru/catalog/sertifikat/SS_KZ.pdf;1 съемная полка;645;450;395;полимерное порошковое покрытие серого цвета (RAL 7030);Сейфы;Офисные сейфы КЗ;19 566;RUB
3067;Офисный сейф КЗ-0132 Т;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_110.jpg;;html;Ofisnyj-sejf-KZ-0132-T;html;https://paksmet.ru/components/com_jshopping/files/img_products/110.jpg;<p>Сейф представляет собой сварную металлическую конструкцию, состоящую из наружного и внутреннего корпусов. Межстенное пространство корпуса и двери заполнено специальными составами, материалами и конструктивными элементами, обеспечивающими необходимую для данного изделия взломостойкость.Внутри сейфа располагается отсек ограниченного доступа (трейзер), запираемый на замок «почтового» типа и одна съемная полка. В дне сейфа предусмотрено отверстие Ø11 мм для возможности анкерного крепления его к полу. Дверь сейфа оборудована запорным механизмом с 2-х сторонней ригельной системой запирания (по 2 ригеля Ø28 мм вправо/влево), который блокируется ключевым сейфовым замком класса «А» фирмы «CAWI» или «MAUER» производства Германии. Запорный механизм приводится в действие при помощи ручки. Чтобы открыть сейф необходимо: вставить ключ в замочную скважину, открыть замок и повернуть ручку на 90°. Закрывать в обратном порядке. Петли сейфа наружные, открывание двери – на 180°.</p>;https://paksmet.ru/components/com_jshopping/files/img_products/mehan.png;https://paksmet.ru/catalog/sertifikat/SS_KZ.pdf;1 съемная полка, отсек ограниченного доступа (трейзер);645;450;395;полимерное порошковое покрытие серого цвета (RAL 7030);Сейфы;Офисные сейфы КЗ;20 170;RUB
3068;Офисный сейф КЗ-035 ТК;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_15.jpg;;html;Ofisnyj-sejf-KZ-035-TK;html;https://paksmet.ru/components/com_jshopping/files/img_products/15.jpg;<p>Сейф представляет собой сварную металлическую конструкцию, состоящую из наружного и внутреннего корпусов. Межстенное пространство корпуса и двери заполнено специальными составами, материалами и конструктивными элементами, обеспечивающими необходимую для данного изделия взломостойкость.Внутри сейфа располагается отсек ограниченного доступа (трейзер), запираемый на замок «почтового» типа и одна съемная полка. В дне сейфа предусмотрено отверстие Ø11 мм для возможности анкерного крепления его к полу. Дверь сейфа оборудована запорным механизмом с 2-х сторонней ригельной системой запирания (по 3 ригеля Ø28 мм вправо/влево), который блокируется ключевым сейфовым замком класса «А» фирмы «CAWI» или «MAUER», дополнительно к ключевому замку установлен механический кодовый замок фирмы «CAWI» производства Германии. Запорный механизм приводится в действие при помощи ручки. Петли сейфа наружные, открывание двери – на 180°.</p>;https://paksmet.ru/components/com_jshopping/files/img_products/kod-kluch.png;https://paksmet.ru/catalog/sertifikat/SS_KZ.pdf;1 съемная полка, отсек ограниченного доступа (трейзер), механический кодовый замок;745;500;445;полимерное порошковое покрытие серого цвета (RAL 7030);Сейфы;Офисные сейфы КЗ;29 831;RUB
3069;Офисный сейф КЗ-035 Т;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_19.jpg;;html;Ofisnyj-sejf-KZ-035-T;html;https://paksmet.ru/components/com_jshopping/files/img_products/19.jpg;<p>Сейф представляет собой сварную металлическую конструкцию, состоящую из наружного и внутреннего корпусов. Межстенное пространство корпуса и двери заполнено специальными составами, материалами и конструктивными элементами, обеспечивающими необходимую для данного изделия взломостойкость.Внутри сейфа располагается отсек ограниченного доступа (трейзер), запираемый на замок «почтового» типа и одна съемная полка. В дне сейфа предусмотрено отверстие Ø11 мм для возможности анкерного крепления его к полу. Дверь сейфа оборудована запорным механизмом с 2-х сторонней ригельной системой запирания (по 3 ригеля Ø28 мм вправо/влево), который блокируется ключевым сейфовым замком класса «А» фирмы «CAWI» или «MAUER» производства Германии. Запорный механизм приводится в действие при помощи ручки. Чтобы открыть сейф необходимо: вставить ключ в замочную скважину, открыть замок и повернуть ручку на 90°. Закрывать в обратном порядке. Петли сейфа наружные, открывание двери – на 180°.</p>;https://paksmet.ru/components/com_jshopping/files/img_products/mehan.png;https://paksmet.ru/catalog/sertifikat/SS_KZ.pdf;1 съемная полка, отсек ограниченного доступа (трейзер);745;450;445;полимерное порошковое покрытие серого цвета (RAL 7030);Сейфы;Офисные сейфы КЗ;23 499;RUB
3070;Офисный сейф КЗ-053;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_11.jpg;;html;Ofisnyj-sejf-KZ-053;html;https://paksmet.ru/components/com_jshopping/files/img_products/11.jpg;<p>Сейф представляет собой сварную металлическую конструкцию, состоящую из наружного и внутреннего корпусов. Межстенное пространство корпуса и двери заполнено специальными составами, материалами и конструктивными элементами, обеспечивающими необходимую для данного изделия взломостойкость.Внутри сейфа «КЗ 053» располагается 1 съемная полка, запираемый на замок почтового типа. В дне сейфа предусмотрено отверстие Ø11 мм для возможности анкерного крепления его к полу. Запирание сейфа осуществляется за счет ключевого сейфового замкакласса «А» с ригельной системой — 2 активных ригеля Ø28 мм в сторону и пассивный П-образный ригель со стороны петель. Петли сейфа наружные, открывание двери – на 180°.</p>;;https://paksmet.ru/catalog/sertifikat/SS_KZ.pdf;1 съемная полка;360;450;395;полимерное порошковое покрытие серого цвета (RAL 7030);Сейфы;Офисные сейфы КЗ;14 639;RUB
3071;Взломостойкий сейф ПК-30ТК;https://paksmet.ru/components/com_jshopping/files/img_products/thumb_117.jpg;;html;Vzlomostojkij-sejf-PK-30TK;html;https://paksmet.ru/components/com_jshopping/files/img_products/117.jpg;<p>Сейфы серии «ПК-30ТK» предназначены для хранения ценностей, документов, носителей информации и обеспечивают их сохранность согласно I (первому) классу изделия по взломостойкости по ГОСТ Р 50862-2017. Внутри сейфа располагается отсек ограниченного доступа (трейзер), запираемый на замок «почтового» типа и одна полка. В дне сейфа предусмотрено отверстие Ø11 мм для возможности анкерного крепления его к полу. Сейф оборудован запорным механизмом с ригельной системой запирания (4 ригеля Ø28 мм в сторону/1 вверх), который блокируется ключевым сейфовым замком класса «А» фирмы «CAWI» или «MAUER» производства Германии и механическим кодовым замком WITTKOPP, а для дополнительной защиты — со стороны петель установлен пассивный П-образный ригель. Запорный механизм приводится в действие при помощи ручки. Чтобы открыть сейф необходимо: вставить ключ в замочную скважину, открыть замок и повернуть ручку на 90°. Закрывать в обратном порядке. Сейф от криминального взлома оборудован тросовой блокировочной системой запирания, механическое воздействие на которую не допустимо, т.к. это может привести к блокированию ригельной системы запирания. Петли сейфа наружные, открывание двери – на 180 °.</p>;https://paksmet.ru/components/com_jshopping/files/img_products/kod-kluch.png;https://paksmet.ru/catalog/sertifikat/SS_PK.pdf;1 несъемная полка, отсек ограниченного доступа (трейзер);945;500;445;полимерное порошковое покрытие серого цвета (RAL 7024);Сейфы;Взломостойкие сейфы ПК (1 класс);41 851;RUB
