IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IE_DETAIL_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP59;IP_PROP64;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP77;IP_PROP80;IP_PROP81;IP_PROP82;IP_PROP83;IP_PROP74;IP_PROP265;IP_PROP305;IP_PROP282;IP_PROP284;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1;CV_CURRENCY_1
1792;Кэшбокс CB-9701N;https://www.safe.ru/upload/resize_cache/iblock/a8a/240_240_1/a8a8f3e9bea78b80b9dacbb8c8ce63cb.jpg;;html;keshboks-cb-9701n;html;https://www.safe.ru/upload/iblock/060/060e29ba9baf94cb3d1daad116193125.jpg;"<div class=""text-block""><ul><li>предназначены для хранения мелких вещей дома и в офисе</li><li>корпус и дверь изготовлены из стали</li><li>комплектуются ключевым замком</li><li>оснащены съемными пластиковыми лотками и разделителями</li><li>широкий диапазон цветов и размеров</li><li>тип покрытия – защитное фосфатное</li></ul> </div>";https://www.safe.ru/upload/iblock/a8a/a8a8f3e9bea78b80b9dacbb8c8ce63cb.jpg;https://yarskmebel.tmweb.ru/upload/docs/Сертификат соответствия Кэшбокс CB-9701N.pdf;80;165;125;0,9;ключевой;cерый;защитное фосфатное;1 год;Shuhra;Тайвань;;;;Другая продукция;Кэшбоксы;Кэшбоксы и книги-тайники Тайвань;1 400;RUB
1793;Кэшбокс CB-9703N;https://www.safe.ru/upload/resize_cache/iblock/6c3/240_240_1/6c376ca4523cff44f83960f1730cf31f.jpg;;html;keshboks-cb-9703n;html;https://www.safe.ru/upload/iblock/836/8366a0801281dea9f7b4dace707c50ba.jpg;"<div class=""text-block""><ul><li>предназначены для хранения мелких вещей дома и в офисе</li><li>корпус и дверь изготовлены из стали</li><li>комплектуются ключевым замком</li><li>оснащены съемными пластиковыми лотками и разделителями</li><li>широкий диапазон цветов и размеров</li><li>тип покрытия – защитное фосфатное</li></ul> </div>";https://www.safe.ru/upload/iblock/6c3/6c376ca4523cff44f83960f1730cf31f.jpg;https://yarskmebel.tmweb.ru/upload/docs/Сертификат соответствия Кэшбокс CB-9703N.pdf;80;197;154;1,1;ключевой;зеленый;защитное фосфатное;1 год;Shuhra;Тайвань;;;;Другая продукция;Кэшбоксы;Кэшбоксы и книги-тайники Тайвань;1 400;RUB
1794;Кэшбокс CB-9705N;https://www.safe.ru/upload/resize_cache/iblock/162/240_240_1/162b6cfd74753a5190041fc6437dfb66.jpg;;html;keshboks-cb-9705n;html;https://www.safe.ru/upload/iblock/29f/29f542457a292bd314d88ec4c5065a9c.jpg;"<div class=""text-block""><ul><li>предназначены для хранения мелких вещей дома и в офисе</li><li>корпус и дверь изготовлены из стали</li><li>комплектуются ключевым замком</li><li>оснащены съемными пластиковыми лотками и разделителями</li><li>широкий диапазон цветов и размеров</li><li>тип покрытия – защитное фосфатное</li></ul> </div>";https://www.safe.ru/upload/iblock/162/162b6cfd74753a5190041fc6437dfb66.jpg;https://yarskmebel.tmweb.ru/upload/docs/Сертификат соответствия Кэшбокс CB-9705N.pdf;80;230;185;0,9;ключевой;cерый;защитное фосфатное;1 год;Shuhra;Тайвань;;;;Другая продукция;Кэшбоксы;Кэшбоксы и книги-тайники Тайвань;1 400;RUB
1795;Ключница KEY-20;https://www.safe.ru/upload/resize_cache/iblock/568/240_240_1/568189f35fae1b85fcead3f1d3c8470b.jpg;;html;klyuchnitsa-key-20;html;https://www.safe.ru/upload/iblock/5f0/5f0e4885cc14305e757e5732aa864b8c.jpg;"<div class=""text-block""><p>Предназначены для упорядоченного размещения и защиты от несанкционированного использования ключей.</p><ul><li>Размещаются стационарно на стене, в корпусе предусмотрены отверстия для крепления</li><li>Изготовлены из стали 0,9 мм</li><li>Оснащены металлическими крючками для навешивания ключей</li><li>Ключевой замок</li><li>Количество крючков для ключей - 20шт.</li><li>В комплект ключниц входят пластиковые цветные брелоки, рассчитанные на количество ключей и самоклеящиеся номерки</li></ul> </div>";https://www.safe.ru/upload/iblock/568/568189f35fae1b85fcead3f1d3c8470b.jpg;https://yarskmebel.tmweb.ru/upload/docs/Отказное письмо Ключница KEY-20.pdf;300;185;59;1.7;;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;;;;;Другая продукция;Ключницы;Ключницы AIKO KEY;1 895;RUB
1795;Ключница KEY-20;https://www.safe.ru/upload/resize_cache/iblock/568/240_240_1/568189f35fae1b85fcead3f1d3c8470b.jpg;;html;klyuchnitsa-key-20;html;https://www.safe.ru/upload/iblock/5f0/5f0e4885cc14305e757e5732aa864b8c.jpg;"<div class=""text-block""><p>Предназначены для упорядоченного размещения и защиты от несанкционированного использования ключей.</p><ul><li>Размещаются стационарно на стене, в корпусе предусмотрены отверстия для крепления</li><li>Изготовлены из стали 0,9 мм</li><li>Оснащены металлическими крючками для навешивания ключей</li><li>Ключевой замок</li><li>Количество крючков для ключей - 20шт.</li><li>В комплект ключниц входят пластиковые цветные брелоки, рассчитанные на количество ключей и самоклеящиеся номерки</li></ul> </div>";https://www.safe.ru/upload/iblock/568/568189f35fae1b85fcead3f1d3c8470b.jpg;https://yarskmebel.tmweb.ru/upload/docs/Отказное письмо Ключница KEY-20.pdf;300;185;59;1.7;;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;;;;;Другая продукция;Ключницы;Ключницы AIKO KEY;1 895;RUB
1796;Ключница  KEY-40;https://www.safe.ru/upload/resize_cache/iblock/161/240_240_1/1615400a0b318b3ad8b3606c947964bc.jpg;;html;klyuchnitsa-key-40;html;https://www.safe.ru/upload/iblock/a4e/a4e502001584b67623019ae8f75319e9.jpg;"<div class=""text-block""><p>Предназначены для упорядоченного размещения и защиты от несанкционированного использования ключей.</p><ul><li>Размещаются стационарно на стене, в корпусе предусмотрены отверстия для крепления</li><li>Изготовлены из стали 0,9 мм</li><li>Оснащены металлическими крючками для навешивания ключей</li><li>Ключевой замок</li><li>Количество крючков для ключей - 40шт.</li><li>В комплект ключниц входят пластиковые цветные брелоки, рассчитанные на количество ключей и самоклеящиеся номерки</li></ul> </div>";https://www.safe.ru/upload/iblock/161/1615400a0b318b3ad8b3606c947964bc.jpg;https://yarskmebel.tmweb.ru/upload/docs/Отказное письмо Ключница  KEY-40.pdf;300;355;59;2.9;;серый полуматовый (RAL 7038);порошковое;1 год;;;;;;Другая продукция;Ключницы;Ключницы AIKO KEY;2 345;RUB
1796;Ключница  KEY-40;https://www.safe.ru/upload/resize_cache/iblock/161/240_240_1/1615400a0b318b3ad8b3606c947964bc.jpg;;html;klyuchnitsa-key-40;html;https://www.safe.ru/upload/iblock/a4e/a4e502001584b67623019ae8f75319e9.jpg;"<div class=""text-block""><p>Предназначены для упорядоченного размещения и защиты от несанкционированного использования ключей.</p><ul><li>Размещаются стационарно на стене, в корпусе предусмотрены отверстия для крепления</li><li>Изготовлены из стали 0,9 мм</li><li>Оснащены металлическими крючками для навешивания ключей</li><li>Ключевой замок</li><li>Количество крючков для ключей - 40шт.</li><li>В комплект ключниц входят пластиковые цветные брелоки, рассчитанные на количество ключей и самоклеящиеся номерки</li></ul> </div>";https://www.safe.ru/upload/iblock/161/1615400a0b318b3ad8b3606c947964bc.jpg;https://yarskmebel.tmweb.ru/upload/docs/Отказное письмо Ключница  KEY-40.pdf;300;355;59;2.9;;серый полуматовый (RAL 7038);порошковое;1 год;;;;;;Другая продукция;Ключницы;Ключницы AIKO KEY;2 345;RUB
1797;Ключница  KEY-60;https://www.safe.ru/upload/resize_cache/iblock/049/240_240_1/0494c5a8b25c1ad7e40100f0de2aee32.jpg;;html;klyuchnitsa-key-60;html;https://www.safe.ru/upload/iblock/c30/c3006e2af77be1c2abe2ce64c3696fce.jpg;"<div class=""text-block""><p>Предназначены для упорядоченного размещения и защиты от несанкционированного использования ключей.</p><ul><li>Размещаются стационарно на стене, в корпусе предусмотрены отверстия для крепления</li><li>Изготовлены из стали 0,9 мм</li><li>Оснащены металлическими крючками для навешивания ключей</li><li>Ключевой замок</li><li>Количество крючков для ключей - 60шт.</li><li>В комплект ключниц входят пластиковые цветные брелоки, рассчитанные на количество ключей и самоклеящиеся номерки</li></ul> </div>";https://www.safe.ru/upload/iblock/049/0494c5a8b25c1ad7e40100f0de2aee32.jpg;https://yarskmebel.tmweb.ru/upload/docs/Отказное письмо Ключница  KEY-60.pdf;400;355;59;3.8;;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;;;;;Другая продукция;Ключницы;Ключницы AIKO KEY;2 925;RUB
1797;Ключница  KEY-60;https://www.safe.ru/upload/resize_cache/iblock/049/240_240_1/0494c5a8b25c1ad7e40100f0de2aee32.jpg;;html;klyuchnitsa-key-60;html;https://www.safe.ru/upload/iblock/c30/c3006e2af77be1c2abe2ce64c3696fce.jpg;"<div class=""text-block""><p>Предназначены для упорядоченного размещения и защиты от несанкционированного использования ключей.</p><ul><li>Размещаются стационарно на стене, в корпусе предусмотрены отверстия для крепления</li><li>Изготовлены из стали 0,9 мм</li><li>Оснащены металлическими крючками для навешивания ключей</li><li>Ключевой замок</li><li>Количество крючков для ключей - 60шт.</li><li>В комплект ключниц входят пластиковые цветные брелоки, рассчитанные на количество ключей и самоклеящиеся номерки</li></ul> </div>";https://www.safe.ru/upload/iblock/049/0494c5a8b25c1ad7e40100f0de2aee32.jpg;https://yarskmebel.tmweb.ru/upload/docs/Отказное письмо Ключница  KEY-60.pdf;400;355;59;3.8;;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;;;;;Другая продукция;Ключницы;Ключницы AIKO KEY;2 925;RUB
1798;Ключница  KEY-80;https://www.safe.ru/upload/resize_cache/iblock/20f/240_240_1/20fe6f0c2a307e9bbb9712763695e567.jpg;;html;klyuchnitsa-key-80;html;https://www.safe.ru/upload/iblock/295/295370ef929e1b488d83897757118cec.jpg;"<div class=""text-block""><p>Предназначены для упорядоченного размещения и защиты от несанкционированного использования ключей.</p><ul><li>Размещаются стационарно на стене, в корпусе предусмотрены отверстия для крепления</li><li>Изготовлены из стали 0,9 мм</li><li>Оснащены металлическими крючками для навешивания ключей</li><li>Ключевой замок</li><li>Количество крючков для ключей - 80 шт.</li><li>В комплект ключниц входят пластиковые цветные брелоки, рассчитанные на количество ключей и самоклеящиеся номерки</li></ul> </div>";https://www.safe.ru/upload/iblock/20f/20fe6f0c2a307e9bbb9712763695e567.jpg;https://yarskmebel.tmweb.ru/upload/docs/Отказное письмо Ключница  KEY-80.pdf;500;355;59;4.7;;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;;;;;Другая продукция;Ключницы;Ключницы AIKO KEY;3 655;RUB
1798;Ключница  KEY-80;https://www.safe.ru/upload/resize_cache/iblock/20f/240_240_1/20fe6f0c2a307e9bbb9712763695e567.jpg;;html;klyuchnitsa-key-80;html;https://www.safe.ru/upload/iblock/295/295370ef929e1b488d83897757118cec.jpg;"<div class=""text-block""><p>Предназначены для упорядоченного размещения и защиты от несанкционированного использования ключей.</p><ul><li>Размещаются стационарно на стене, в корпусе предусмотрены отверстия для крепления</li><li>Изготовлены из стали 0,9 мм</li><li>Оснащены металлическими крючками для навешивания ключей</li><li>Ключевой замок</li><li>Количество крючков для ключей - 80 шт.</li><li>В комплект ключниц входят пластиковые цветные брелоки, рассчитанные на количество ключей и самоклеящиеся номерки</li></ul> </div>";https://www.safe.ru/upload/iblock/20f/20fe6f0c2a307e9bbb9712763695e567.jpg;https://yarskmebel.tmweb.ru/upload/docs/Отказное письмо Ключница  KEY-80.pdf;500;355;59;4.7;;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;;;;;Другая продукция;Ключницы;Ключницы AIKO KEY;3 655;RUB
1799;Ключница  KEY-100;https://www.safe.ru/upload/resize_cache/iblock/a82/240_240_1/a823223128701d30141f7682e73a8507.jpg;;html;klyuchnitsa-key-100;html;https://www.safe.ru/upload/iblock/bb9/bb93fe4e6be29c422d54317f6850aeb6.jpg;"<div class=""text-block""><p>Предназначены для упорядоченного размещения и защиты от несанкционированного использования ключей.</p><ul><li>Размещаются стационарно на стене, в корпусе предусмотрены отверстия для крепления</li><li>Изготовлены из стали 0,9 мм</li><li>Оснащены металлическими крючками для навешивания ключей</li><li>Ключевой замок</li><li>Количество крючков для ключей - 100 шт.</li><li>В комплект ключниц входят пластиковые цветные брелоки, рассчитанные на количество ключей и самоклеящиеся номерки</li></ul> </div>";https://www.safe.ru/upload/iblock/a82/a823223128701d30141f7682e73a8507.jpg;https://yarskmebel.tmweb.ru/upload/docs/Отказное письмо Ключница  KEY-100.pdf;600;355;59;5.6;;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;;;;;Другая продукция;Ключницы;Ключницы AIKO KEY;4 305;RUB
1799;Ключница  KEY-100;https://www.safe.ru/upload/resize_cache/iblock/a82/240_240_1/a823223128701d30141f7682e73a8507.jpg;;html;klyuchnitsa-key-100;html;https://www.safe.ru/upload/iblock/bb9/bb93fe4e6be29c422d54317f6850aeb6.jpg;"<div class=""text-block""><p>Предназначены для упорядоченного размещения и защиты от несанкционированного использования ключей.</p><ul><li>Размещаются стационарно на стене, в корпусе предусмотрены отверстия для крепления</li><li>Изготовлены из стали 0,9 мм</li><li>Оснащены металлическими крючками для навешивания ключей</li><li>Ключевой замок</li><li>Количество крючков для ключей - 100 шт.</li><li>В комплект ключниц входят пластиковые цветные брелоки, рассчитанные на количество ключей и самоклеящиеся номерки</li></ul> </div>";https://www.safe.ru/upload/iblock/a82/a823223128701d30141f7682e73a8507.jpg;https://yarskmebel.tmweb.ru/upload/docs/Отказное письмо Ключница  KEY-100.pdf;600;355;59;5.6;;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;;;;;Другая продукция;Ключницы;Ключницы AIKO KEY;4 305;RUB
1800;Ключница  KEY-200;https://www.safe.ru/upload/resize_cache/iblock/216/240_240_1/216bae6d1435908af0cc38d9bcae185e.jpg;;html;klyuchnitsa-key-200;html;https://www.safe.ru/upload/iblock/cad/cadde49e3ed94c2841b7045a37c09339.jpg;"<div class=""text-block""><p>Предназначены для упорядоченного размещения и защиты от несанкционированного использования ключей.</p><ul><li>Размещаются стационарно на стене, в корпусе предусмотрены отверстия для крепления</li><li>Изготовлены из стали 0,9 мм</li><li>Оснащены металлическими крючками для навешивания ключей</li><li>Ключевой замок</li><li>Количество крючков для ключей - 200 шт.</li><li>В комплект ключниц входят пластиковые цветные брелоки, рассчитанные на количество ключей и самоклеящиеся номерки</li></ul> </div>";https://www.safe.ru/upload/iblock/216/216bae6d1435908af0cc38d9bcae185e.jpg;https://yarskmebel.tmweb.ru/upload/docs/Отказное письмо Ключница  KEY-200.pdf;600;355;90;9.4;;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;;;;;Другая продукция;Ключницы;Ключницы AIKO KEY;10 905;RUB
1800;Ключница  KEY-200;https://www.safe.ru/upload/resize_cache/iblock/216/240_240_1/216bae6d1435908af0cc38d9bcae185e.jpg;;html;klyuchnitsa-key-200;html;https://www.safe.ru/upload/iblock/cad/cadde49e3ed94c2841b7045a37c09339.jpg;"<div class=""text-block""><p>Предназначены для упорядоченного размещения и защиты от несанкционированного использования ключей.</p><ul><li>Размещаются стационарно на стене, в корпусе предусмотрены отверстия для крепления</li><li>Изготовлены из стали 0,9 мм</li><li>Оснащены металлическими крючками для навешивания ключей</li><li>Ключевой замок</li><li>Количество крючков для ключей - 200 шт.</li><li>В комплект ключниц входят пластиковые цветные брелоки, рассчитанные на количество ключей и самоклеящиеся номерки</li></ul> </div>";https://www.safe.ru/upload/iblock/216/216bae6d1435908af0cc38d9bcae185e.jpg;https://yarskmebel.tmweb.ru/upload/docs/Отказное письмо Ключница  KEY-200.pdf;600;355;90;9.4;;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;;;;;Другая продукция;Ключницы;Ключницы AIKO KEY;10 905;RUB
1801;Ключница  KEY-300;https://www.safe.ru/upload/resize_cache/iblock/8e5/240_240_1/8e5d8745b083c40c3371f7db724ab2b8.jpg;;html;klyuchnitsa-key-300;html;https://www.safe.ru/upload/iblock/efb/efb265b558b6520f5a8c3f30532a9a79.jpg;"<div class=""text-block""><p>Предназначены для упорядоченного размещения и защиты от несанкционированного использования ключей.</p><ul><li>Размещаются стационарно на стене, в корпусе предусмотрены отверстия для крепления</li><li>Изготовлены из стали 0,9 мм</li><li>Оснащены металлическими крючками для навешивания ключей</li><li>Ключевой замок</li><li>Количество крючков для ключей - 300 шт.</li><li>В комплект ключниц входят пластиковые цветные брелоки, рассчитанные на количество ключей и самоклеящиеся номерки</li></ul> </div>";https://www.safe.ru/upload/iblock/8e5/8e5d8745b083c40c3371f7db724ab2b8.jpg;https://yarskmebel.tmweb.ru/upload/docs/Отказное письмо Ключница  KEY-300.pdf;600;355;130;13.5;;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;;;;;Другая продукция;Ключницы;Ключницы AIKO KEY;16 305;RUB
1801;Ключница  KEY-300;https://www.safe.ru/upload/resize_cache/iblock/8e5/240_240_1/8e5d8745b083c40c3371f7db724ab2b8.jpg;;html;klyuchnitsa-key-300;html;https://www.safe.ru/upload/iblock/efb/efb265b558b6520f5a8c3f30532a9a79.jpg;"<div class=""text-block""><p>Предназначены для упорядоченного размещения и защиты от несанкционированного использования ключей.</p><ul><li>Размещаются стационарно на стене, в корпусе предусмотрены отверстия для крепления</li><li>Изготовлены из стали 0,9 мм</li><li>Оснащены металлическими крючками для навешивания ключей</li><li>Ключевой замок</li><li>Количество крючков для ключей - 300 шт.</li><li>В комплект ключниц входят пластиковые цветные брелоки, рассчитанные на количество ключей и самоклеящиеся номерки</li></ul> </div>";https://www.safe.ru/upload/iblock/8e5/8e5d8745b083c40c3371f7db724ab2b8.jpg;https://yarskmebel.tmweb.ru/upload/docs/Отказное письмо Ключница  KEY-300.pdf;600;355;130;13.5;;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;;;;;Другая продукция;Ключницы;Ключницы AIKO KEY;16 305;RUB
1802;Ключница  KEY-400;https://www.safe.ru/upload/resize_cache/iblock/0ea/240_240_1/0eaf52da5335e5abeb3eea8369333754.jpg;;html;klyuchnitsa-key-400;html;https://www.safe.ru/upload/iblock/891/891a598d40ba79e0af0f60b8e9fad152.jpg;"<div class=""text-block""><p>Предназначены для упорядоченного размещения и защиты от несанкционированного использования ключей.</p><ul><li>Размещаются стационарно на стене, в корпусе предусмотрены отверстия для крепления</li><li>Изготовлены из стали 0,9 мм</li><li>Оснащены металлическими крючками для навешивания ключей</li><li>Ключевой замок</li><li>Количество крючков для ключей - 400 шт.</li><li>В комплект ключниц входят пластиковые цветные брелоки, рассчитанные на количество ключей и самоклеящиеся номерки</li></ul> </div>";https://www.safe.ru/upload/iblock/0ea/0eaf52da5335e5abeb3eea8369333754.jpg;https://yarskmebel.tmweb.ru/upload/docs/Отказное письмо Ключница  KEY-400.pdf;600;710;90;19;;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;;;;;Другая продукция;Ключницы;Ключницы AIKO KEY;21 765;RUB
1802;Ключница  KEY-400;https://www.safe.ru/upload/resize_cache/iblock/0ea/240_240_1/0eaf52da5335e5abeb3eea8369333754.jpg;;html;klyuchnitsa-key-400;html;https://www.safe.ru/upload/iblock/891/891a598d40ba79e0af0f60b8e9fad152.jpg;"<div class=""text-block""><p>Предназначены для упорядоченного размещения и защиты от несанкционированного использования ключей.</p><ul><li>Размещаются стационарно на стене, в корпусе предусмотрены отверстия для крепления</li><li>Изготовлены из стали 0,9 мм</li><li>Оснащены металлическими крючками для навешивания ключей</li><li>Ключевой замок</li><li>Количество крючков для ключей - 400 шт.</li><li>В комплект ключниц входят пластиковые цветные брелоки, рассчитанные на количество ключей и самоклеящиеся номерки</li></ul> </div>";https://www.safe.ru/upload/iblock/0ea/0eaf52da5335e5abeb3eea8369333754.jpg;https://yarskmebel.tmweb.ru/upload/docs/Отказное письмо Ключница  KEY-400.pdf;600;710;90;19;;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;;;;;Другая продукция;Ключницы;Ключницы AIKO KEY;21 765;RUB
1803;Ключница  KEY-600;https://www.safe.ru/upload/resize_cache/iblock/2c5/240_240_1/2c50bf45ef9e6467e8f945a9de37b21a.jpg;;html;klyuchnitsa-key-600;html;https://www.safe.ru/upload/iblock/237/237b33513583ca867e990f10bf39cc82.jpg;"<div class=""text-block""><p>Предназначены для упорядоченного размещения и защиты от несанкционированного использования ключей.</p><ul><li>Размещаются стационарно на стене, в корпусе предусмотрены отверстия для крепления</li><li>Изготовлены из стали 0,9 мм</li><li>Оснащены металлическими крючками для навешивания ключей</li><li>Ключевой замок</li><li>Количество крючков для ключей - 600 шт.</li><li>В комплект ключниц входят пластиковые цветные брелоки, рассчитанные на количество ключей и самоклеящиеся номерки</li></ul> </div>";https://www.safe.ru/upload/iblock/2c5/2c50bf45ef9e6467e8f945a9de37b21a.jpg;https://yarskmebel.tmweb.ru/upload/docs/Отказное письмо Ключница  KEY-600.pdf;600;710;130;27;;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;;;;;Другая продукция;Ключницы;Ключницы AIKO KEY;32 695;RUB
1803;Ключница  KEY-600;https://www.safe.ru/upload/resize_cache/iblock/2c5/240_240_1/2c50bf45ef9e6467e8f945a9de37b21a.jpg;;html;klyuchnitsa-key-600;html;https://www.safe.ru/upload/iblock/237/237b33513583ca867e990f10bf39cc82.jpg;"<div class=""text-block""><p>Предназначены для упорядоченного размещения и защиты от несанкционированного использования ключей.</p><ul><li>Размещаются стационарно на стене, в корпусе предусмотрены отверстия для крепления</li><li>Изготовлены из стали 0,9 мм</li><li>Оснащены металлическими крючками для навешивания ключей</li><li>Ключевой замок</li><li>Количество крючков для ключей - 600 шт.</li><li>В комплект ключниц входят пластиковые цветные брелоки, рассчитанные на количество ключей и самоклеящиеся номерки</li></ul> </div>";https://www.safe.ru/upload/iblock/2c5/2c50bf45ef9e6467e8f945a9de37b21a.jpg;https://yarskmebel.tmweb.ru/upload/docs/Отказное письмо Ключница  KEY-600.pdf;600;710;130;27;;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;;;;;Другая продукция;Ключницы;Ключницы AIKO KEY;32 695;RUB
1804;Брелки 1\20;https://www.safe.ru/upload/resize_cache/iblock/925/240_240_1/brelki_min.jpg;;html;brelok-1-20;html;https://www.safe.ru/upload/iblock/712/brelki_big.jpg;"<div class=""text-block""><ul><li>Предназначен для маркировки и идентификации ключей</li><li>Имеет информационное окно в виде прозрачной пластиковой вставки и сменного бумажного формуляра</li><li>Изготовлен из качественного первичного полипропилена</li><li>Имеет присоединительное никелированное металлическое кольцо для надежного крепления к ключу</li><li>Продается упаковками по 20 шт. В одной упаковке пять цветов</li></ul> </div>";https://www.safe.ru/upload/iblock/925/brelki_min.jpg;;52;22;3;;;Красный, синий, зеленый, желтый, черный –по 4 шт. каждого вида;;;ПРОМЕТ;;;;;Другая продукция;Ключницы;Ключницы AIKO KEY;120;RUB
